timestamp,symbol,price,volume,change,change_percent,date,hour,minute
2025-12-07 13:02:07.992084,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,2
2025-12-07 13:02:08.731010,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,2
2025-12-07 13:02:09.140512,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,2
2025-12-07 13:02:09.550545,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,2
2025-12-07 13:02:09.959777,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,2
2025-12-07 13:03:10.263445,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,3
2025-12-07 13:03:10.570524,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,3
2025-12-07 13:03:10.879192,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,3
2025-12-07 13:03:11.185077,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,3
2025-12-07 13:03:11.491947,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,3
2025-12-07 13:04:11.809703,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,4
2025-12-07 13:04:12.047313,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,4
2025-12-07 13:04:12.300340,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,4
2025-12-07 13:04:12.584945,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,4
2025-12-07 13:04:12.824550,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,4
2025-12-07 13:05:13.269325,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,5
2025-12-07 13:05:13.562740,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,5
2025-12-07 13:05:13.869342,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,5
2025-12-07 13:05:14.175736,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,5
2025-12-07 13:05:14.420090,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,5
2025-12-07 13:06:14.653310,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,6
2025-12-07 13:06:14.901029,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,6
2025-12-07 13:06:15.208488,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,6
2025-12-07 13:06:15.515538,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,6
2025-12-07 13:06:15.824212,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,6
2025-12-07 13:07:16.206208,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,7
2025-12-07 13:07:16.442053,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,7
2025-12-07 13:07:17.179222,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,7
2025-12-07 13:07:17.469556,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,7
2025-12-07 13:07:17.797008,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,7
2025-12-07 13:08:18.093476,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,8
2025-12-07 13:08:18.401702,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,8
2025-12-07 13:08:18.634386,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,8
2025-12-07 13:08:18.912383,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,8
2025-12-07 13:08:19.219449,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,8
2025-12-07 13:09:19.535967,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,9
2025-12-07 13:09:19.842640,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,9
2025-12-07 13:09:20.150772,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,9
2025-12-07 13:09:20.559408,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,9
2025-12-07 13:09:20.867114,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,9
2025-12-07 13:10:21.119194,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,10
2025-12-07 13:10:21.369588,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,10
2025-12-07 13:10:21.603815,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,10
2025-12-07 13:10:21.848531,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,10
2025-12-07 13:10:22.103351,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,10
2025-12-07 13:11:22.418729,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,11
2025-12-07 13:11:22.726339,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,11
2025-12-07 13:11:23.032734,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,11
2025-12-07 13:11:23.339884,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,11
2025-12-07 13:11:23.647647,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,11
2025-12-07 13:12:24.066440,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,12
2025-12-07 13:12:24.372229,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,12
2025-12-07 13:12:24.679454,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,12
2025-12-07 13:12:24.990009,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,12
2025-12-07 13:12:25.295689,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,12
2025-12-07 13:13:25.608565,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,13
2025-12-07 13:13:25.915937,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,13
2025-12-07 13:13:26.225049,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,13
2025-12-07 13:13:26.532301,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,13
2025-12-07 13:13:26.837440,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,13
2025-12-07 13:14:27.152857,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,14
2025-12-07 13:14:27.460620,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,14
2025-12-07 13:14:27.769715,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,14
2025-12-07 13:14:28.074922,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,14
2025-12-07 13:14:28.303001,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,14
2025-12-07 13:15:28.560354,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,15
2025-12-07 13:15:28.798505,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,15
2025-12-07 13:15:29.210053,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,15
2025-12-07 13:15:29.439271,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,15
2025-12-07 13:15:29.721198,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,15
2025-12-07 13:16:30.035303,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,16
2025-12-07 13:16:30.344414,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,16
2025-12-07 13:16:30.580643,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,16
2025-12-07 13:16:30.814133,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,16
2025-12-07 13:16:31.162742,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,16
2025-12-07 13:17:31.475304,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,17
2025-12-07 13:17:31.785272,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,17
2025-12-07 13:17:32.092524,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,17
2025-12-07 13:17:32.397231,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,17
2025-12-07 13:17:32.706132,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,17
2025-12-07 13:18:33.021774,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,18
